Art.Nr.;Art.bez.1;Art.bez.2;Verwendung;Herst.Art.Nr.;Preiseinheit;Basis Einheit;Prod.grp. Bez.;War.grp. Bez.;Art.grp. Bez.
1000017;EPDM-Wasserschl. 13x3/3,5, 20 bar, RL=40m;Gummi, schwarz m. gelben o.roten Streifen, ;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschlauch;Gummi mit Gewebeeinlage EPDM
1000022;EPDM-Wasserschl. 19x4, 20 bar, RL=40m;Gummi, schwarz m. gelben o.roten Streifen, ;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschlauch;Gummi mit Gewebeeinlage EPDM
1000024;EPDM-Wasserschl. 25x4,5, 20 bar, RL=40m;Gummi, schwarz m. gelben o.roten Streifen, ;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschlauch;Gummi mit Gewebeeinlage EPDM
1000025;Goldschlange-Schlauch, 13x3,5, RL=40m;Gummi-Wasserschlauch, 30 bar;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschlauch;Gummi mit Gewebeeinlage Goldschlange
1000050;Pressl.06X3,5.16bar-40;Pressluftschlauch 06x3,5 mm schwarz;"EINK;VERK;SHOP";;1;m;Schläuche;Luft- und Gasschläuche;Preßluftschläuche aus Gummi schwarz
1000055;Pressl.09X3,5.16bar-40;Pressluftschlauch 09x3,5 mm schwarz;"EINK;VERK;SHOP";;1;m;Schläuche;Luft- und Gasschläuche;Preßluftschläuche aus Gummi schwarz
1000089;Bremsschlauch 13x6,0 mm schwarz VE40;Rolle: 40 m, 10 bar, DIN 74311;"EINK;VERK;SHOP";;1;m;Schläuche;Luft- und Gasschläuche;Bremsschläuche
1000097;Industrieschlauch 038x6 mm schwarz Rolle: 40 m;10 bar BD, -30/+70°C, SBR, für Frisch-/Schmutz-;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschlauch;Gummi mit Gewebeeinlage Industrie
1000189;Dampfschlauch 13x5,5 mm Niederdruck schwarz-40;Rolle: 40m, EPDM, max. 7 bar BD/+ 164°C (Dampf);"EINK;VERK;SHOP";;1;m;Schläuche;Heißwasser- u. Dampfschläuche;Niederdruck-Dampfschläuche schwarz
1000251;Sandstrahlschl. 25x7mm DIN 53516 VE 40m;BD: 12 bar,-30/+80°C, Widerst:<10 hoch 6 Ohm;"EINK;VERK;SHOP";;1;m;Schläuche;Abriebfeste Gummischläuche;Sandstrahlschläuche
1000298;Kraftstoffschlauch 04x2,5mm Textilumfl. VE20;DIN 73379/1982, Ausf.B, NBR schwarz,;"EINK;VERK;SHOP";;1;m;Schläuche;Öl- und Benzinschlauch;Kraftstoffschläuche m. Umflechtung
