Artikelnr;Artikel Bezeichnung 1;Artikel Bezeichnung 2;Artikel Bezeichnung3;Lieferant;Hersteller;Lief. Artikelnr;Lief. Artikel Bezeichnung 1;Lief. Artikel Bezeichnung 2;Lief. Artikel Bezeichnung 3
1042580;3L250;SKF Gardenpower;;Concar;SKF;3L250;3L - 250;ConCar Keilriemen,GardenPower,;
1042581;3L310;SKF Gardenpower;;Concar;SKF;3L310;3L - 310;ConCar Keilriemen,GardenPower,;
1042783;4L1050;SKF Gardenpower;La=2667mm;Concar;SKF;4L1050;4L - 1050;ConCar Keilriemen,GardenPower,;La=2667mm
1042784;4L1140;SKF Gardenpower;;Concar;SKF;4L1140;4L - 1140;ConCar Keilriemen,GardenPower,;
1042785;4L1170;SKF Gardenpower;;Concar;SKF;4L1170;4L - 1170;ConCar Keilriemen,GardenPower,;
1042786;4L410;SKF Gardenpower;;Concar;SKF;4L410;4L - 410;ConCar Keilriemen,GardenPower,;
1042787;4L540;SKF Gardenpower;;Concar;SKF;4L540;4L - 540;ConCar Keilriemen,GardenPower,;
1042788;4L550;SKF Gardenpower;;Concar;SKF;4L550;4L - 550;ConCar Keilriemen,GardenPower,;
1042789;4L560;SKF Gardenpower;;Concar;SKF;4L560;4L - 560;ConCar Keilriemen,GardenPower,;
1042790;4L600;SKF Gardenpower;;Concar;SKF;4L600;4L - 600;ConCar Keilriemen,GardenPower,;
1042791;4L620;SKF Gardenpower;;Concar;SKF;4L620;4L - 620;ConCar Keilriemen,GardenPower,;
1042792;4L630;SKF Gardenpower;;Concar;SKF;4L630;4L - 630;ConCar Keilriemen,GardenPower,;
1042793;4L780;SKF Gardenpower;La=1981mm;Concar;SKF;4L780;4L - 780;ConCar Keilriemen,GardenPower,;La=1981mm
1042794;4L800;SKF Gardenpower;;Concar;SKF;4L800;4L - 800;ConCar Keilriemen,GardenPower,;
1042795;4L820;SKF Gardenpower;;Concar;SKF;4L820;4L - 820;ConCar Keilriemen,GardenPower,;
1042796;4L830;SKF Gardenpower;;Concar;SKF;4L830;4L - 830;ConCar Keilriemen,GardenPower,;
1042797;4L840;SKF Gardenpower;;Concar;SKF;4L840;4L - 840;ConCar Keilriemen,GardenPower,;
1042798;4L860;SKF Gardenpower;;Concar;SKF;4L860;4L - 860;ConCar Keilriemen,GardenPower,;
1042799;4L920;SKF Gardenpower;;Concar;SKF;4L920;4L - 920;ConCar Keilriemen,GardenPower,;
1042800;4L960;SKF Gardenpower;;Concar;SKF;4L960;4L - 960;ConCar Keilriemen,GardenPower,;
1042801;4L940;SKF Gardenpower;;Concar;SKF;4L940;4L - 940;ConCar Keilriemen,GardenPower,;
1042815;5L1080;SKF Gardenpower;;Concar;SKF;5L1080;5L - 1080;ConCar Keilriemen,GardenPower,;
1042816;5L310;SKF Gardenpower;;Concar;SKF;5L310;5L - 310;ConCar Keilriemen,GardenPower,;
1042817;5L320;SKF Gardenpower;;Concar;SKF;5L320;5L - 320;ConCar Keilriemen,GardenPower,;
1042818;5L430;SKF Gardenpower;;Concar;SKF;5L430;5L - 430;ConCar Keilriemen,GardenPower,;
1042819;5L470;SKF Gardenpower;;Concar;SKF;5L470;5L - 470;ConCar Keilriemen,GardenPower,;
1042820;5L500;SKF Gardenpower;;Concar;SKF;5L500;5L - 500;ConCar Keilriemen,GardenPower,;
1042821;5L510;SKF Gardenpower;La=1295mm;Concar;SKF;5L510;5L - 510;ConCar Keilriemen,GardenPower,;La=1295mm
1042822;5L520;SKF Gardenpower;;Concar;SKF;5L520;5L - 520;ConCar Keilriemen,GardenPower,;
1042823;5L630;SKF Gardenpower;;Concar;SKF;5L630;5L - 630;ConCar Keilriemen,GardenPower,;
1042824;5L640;SKF Gardenpower;;Concar;SKF;5L640;5L - 640;ConCar Keilriemen,GardenPower,;
1042825;5L680;SKF Gardenpower;;Concar;SKF;5L680;5L - 680;ConCar Keilriemen,GardenPower,;
1042826;5L740;SKF Gardenpower;;Concar;SKF;5L740;5L - 740;ConCar Keilriemen,GardenPower,;
1042827;5L780;SKF Gardenpower;;Concar;SKF;5L780;5L - 780;ConCar Keilriemen,GardenPower,;
1042828;5L820;SKF Gardenpower;;Concar;SKF;5L820;5L - 820;ConCar Keilriemen,GardenPower,;
