Artnr;Inhalt
1078063;<h2>Klüber CONTRAKOR FLUID H 1 Spray: Langzeit-Korrosionsschutzstoff und wirksamer Rostlöser</h2>  <p>Effektiver Korrosionsschutz und Rostlöser für Metalloberflächen, auch als Schmierstoff einsetzbar.</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3> <p>Klüber CONTRAKOR FLUID H 1 Spray ist ein dünnflüssiger, vielseitiger Universal-Schmierstoff auf Mineralölbasis mit hervorragendem Eindringvermögen. Dieser Langzeit-Korrosionsschutzstoff löst Rost und Oxidschichten effektiv, schmiert ausgezeichnet und verbessert das Gleiten von mechanischen Komponenten. Er verteilt sich hervorragend, kriecht in feine Schmierspalten und verdrängt Feuchtigkeit sowie Nässe. Ideal zur Pflege und zum Schutz von metallblanken Oberflächen, einschließlich elektrischer Kontakte. Die Spray-Variante ist frei von Lösungsmitteln, was eine umweltfreundliche Anwendung ermöglicht.</p>  <h3>Vorteile</h3> <ul>   <li>Langzeit-Korrosionsschutzstoff</li>   <li>Effektiver Rostlöser</li>   <li>Hervorragende Schmiereigenschaften</li>   <li>Verdrängt Feuchtigkeit und Nässe</li>   <li>Reinigt, pflegt und schützt metallische Oberflächen</li>   <li>Spray-Variante ohne Lösungsmittel</li> </ul>  <h3>Anwendungsgebiete</h3> <p>Klüber CONTRAKOR FLUID H 1 Spray ist ideal für die Anwendung als Korrosionsschutzstoff, Rostlöser, Schmierstoff, Entwässerungsöl, Nässeschutz, Kontaktöl und Bearbeitungsflüssigkeit. Es ist besonders geeignet für alle metallischen Oberflächen, Maschinen, Geräte, Werkzeuge, Gießformen, Drahtseile, Fahrzeuge, Batterie-Klemmen, Schraubenverbindungen, Bolzen, Scharniere, Gleit- und Schiebesitze, Ketten, Lager, Federn, Gleitstellen, Schlösser, Antennen und Gelenke.</p> <ul>   <li>Korrosionsschutzstoff für Metalloberflächen</li>   <li>Rostlöser für festgerostete Teile</li>   <li>Schmierstoff für mechanische Komponenten</li>   <li>Nässeschutz für elektrische Kontakte</li>   <li>Bearbeitungsflüssigkeit für Metallbearbeitung</li>   <li>Reinigungs- und Pflegeöl für Metallteile</li> </ul>  <h3>Anwendungshinweise</h3> <p>Klüber CONTRAKOR FLUID H 1 Spray kann durch Tauchen, Sprühen oder Pinseln auf saubere, metallisch blanke Oberflächen aufgebracht werden. Kleinteile werden in der Regel getaucht, während Großteile oder Flächen besprüht werden. Die Anwendung als Schmierstoff, Rostlöser oder Korrosionsschutz sollte regelmäßig erfolgen, um optimale Ergebnisse zu erzielen. Vor Gebrauch sollten die betroffenen Oberflächen gereinigt werden, um Schmutz und Rückstände zu entfernen.</p> } 
1078066;<h2>Klüber ALTEMP Q NB 50 Spray: Hochwertige Schmier- und Montagepaste</h2>  <p>Effiziente Schmierpaste für hohe Belastungen und vielseitige Montageanwendungen.</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3> <p>Klüber ALTEMP Q NB 50 Spray ist eine hochwertige Schmier- und Montagepaste auf Basis von Mineralöl, Barium-Komplexseife und anorganischen Festschmierstoffen. Diese Paste ist ideal für Montagezwecke und bietet besonders an Reibstellen mit kleinen und kleinsten Gleitbewegungen unter hohen statischen und dynamischen Belastungen erhebliche Vorteile. Sie zeichnet sich durch eine gute Wasser- und Medienbeständigkeit aus und bietet einen ausgezeichneten Verschleiß- und Korrosionsschutz, was zu einer Verringerung von Einpresskräften und Schraubdrehmomenten sowie zur Verhinderung von Reib- und Passungsrost beiträgt.</p>  <h3>Vorteile</h3> <ul>   <li>Geringere Schmierstoffkosten durch lange Standzeiten</li>   <li>Effektiver Verschleiß- und Korrosionsschutz</li>   <li>Hohes Druckaufnahmevermögen für gleichbleibende Spannkräfte</li>   <li>Verbesserte Gleitfähigkeit und Verringerung von Reibungswiderständen</li>   <li>Gute Wasser- und Medienbeständigkeit</li> </ul>  <h3>Anwendungsgebiete</h3> <p>Klüber ALTEMP Q NB 50 Spray kann bei der Montage von reibschlüssigen Verbindungen wie Ringfeder- und Spannhülsenverbindungen sowie von formschlüssigen Verbindungen wie Lagersitzen und Profilführungen verwendet werden. Es ist besonders geeignet zur Schmierung von Spannfuttern, wo hohe Präzision und gleichbleibende Spannkräfte erforderlich sind. Diese Paste verhindert Ruckgleiten (stick-slip) und schützt vor Tribokorrosion, was sie ideal für Anwendungen in Werkzeugmaschinen, Drahtseilen, Gelenken und anderen mechanischen Komponenten macht.</p> <ul>   <li>Montage von reib- und formschlüssigen Verbindungen</li>   <li>Schmierung von Spannfuttern</li>   <li>Schutz vor Tribokorrosion</li>   <li>Anwendung in Werkzeugmaschinen</li>   <li>Schmierung von Drahtseilen und Gelenken</li> </ul>  <h3>Anwendungshinweise</h3> <p>Die Oberflächen sollten sorgfältig gereinigt und entfettet werden, bevor die Paste aufgetragen wird. Tragen Sie die Paste dünn und gleichmäßig mit einem Pinsel oder einem nicht fasernden Lappen auf. Für eine einfachere Anwendung kann auch die sprühbare Version, ALTEMP Q NB 50 Spray, verwendet werden. Die Paste sollte nicht eingerieben werden, um die optimale Wirkung zu gewährleisten.</p> } 
1078068;<h2>Klüber PARALIQ 91 Spray: Synthetisches Schmieröl für die Lebensmittel- und Pharmaindustrie</h2>  <p>Geschmacks- und geruchsneutrales Schmieröl, NSF H1 und NSF 3H-registriert für höchste Prozesszuverlässigkeit.</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3> <p>Klüber PARALIQ 91 Spray ist ein synthetisches Schmieröl, das speziell für die Lebensmittel- und Pharmaindustrie entwickelt wurde. Es basiert auf einem hochwertigen synthetischen Esteröl und ist geschmacks- und geruchsneutral. Dieses Schmieröl ist NSF H1 und NSF 3H-registriert sowie nach NSF ISO 21469 zertifiziert. PARALIQ 91 wurde als Trennmittel für Bleche, Formen und Schneidbretter entwickelt und bietet hervorragenden Schutz und Leistung bei unvorhersehbarem Kontakt mit Lebensmitteln und Verpackungen.</p>  <h3>Vorteile</h3> <ul>   <li>Geschmacks- und geruchsneutral</li>   <li>NSF H1 und NSF 3H-registriert</li>   <li>Konform mit FDA CFR 21 \'a7 178.3570</li>   <li>Zertifiziert nach NSF ISO 21469</li>   <li>Unterstützt die Einhaltung von Hygienestandards</li> </ul>  <h3>Anwendungsgebiete</h3> <p>Klüber PARALIQ 91 wird speziell als Back- und Formtrennmittel in der Lebensmittelindustrie eingesetzt. Es eignet sich auch hervorragend als Hochleistungsöl für Nadel- und Platinen an Textilstrickmaschinen sowie bei der Herstellung von Verpackungen für die Pharma- und Lebensmittelindustrie. Zusätzlich hat sich PARALIQ 91 als Trennmittel in Formteilen für die Tiefziehfolie von Blistermaschinen bewährt.</p> <ul>   <li>Back- und Formtrennmittel</li>   <li>Schmieröl für Nadel- und Platinen an Textilstrickmaschinen</li>   <li>Verpackungsherstellung für Pharma- und Lebensmittelindustrie</li>   <li>Trennmittel für Tiefziehfolie in Blistermaschinen</li> </ul>  <h3>Anwendungshinweise</h3> <p>PARALIQ 91 kann mittels Pinsel, Ölkanne oder Tropfschmierung aufgetragen werden. Vor der Erstschmierung sollten die Oberflächen gründlich gereinigt werden, um einen hygienisch einwandfreien Schmierzustand zu gewährleisten. Die regelmäßige Anwendung und Überprüfung der Schmierstellen trägt zur langfristigen Effizienz und Zuverlässigkeit der Produktionsprozesse bei.</p> } 
1078069;<h2>Klüber UNIMOLY PA Spray: Molybdändisulfid-Sprühpaste</h2>  <p>Hochkonzentrierte Festschmierstoffpaste für Einlaufschutz und Rattervermeidung.</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3> <p>Klüber UNIMOLY PA Spray ist eine schwarze, hochkonzentrierte Festschmierstoffpaste in Sprayform, bestehend aus paraffinischem Mineralöl, Silikat und einem Gemisch aus Molybdändisulfid (MoS2) und Grafit. Diese Paste schützt effektiv vor Einlaufschäden und verhindert Ratterbewegungen bei Gleitführungen. UNIMOLY PA Spray wird ohne Blei-, Cadmium-, Nickel-, Chrom- oder Halogen-Rohstoffe hergestellt und bietet eine herausragende Schmierleistung in anspruchsvollen Anwendungen.</p>  <h3>Vorteile</h3> <ul>   <li>Schützt vor Einlaufschäden und verhindert Fressen</li>   <li>Verhindert Ratterbewegungen bei Gleitführungen</li>   <li>Hohe Druckaufnahmefähigkeit</li>   <li>Lange Standzeiten und geringe Schmierstoffkosten</li>   <li>Gute Haftung an der Reibstelle</li> </ul>  <h3>Anwendungsgebiete</h3> <p>Klüber UNIMOLY PA Spray ist ideal für sanftes Gleiten beim Einpressen von Stiften, Bolzen und Hülsen. Es eignet sich zur Schmierung von Bettbahnen, Kurvenbahnen, Profilführungen, Gleitkulissen und Gelenklagern. Diese Sprühpaste bietet einen zuverlässigen Schutz und eine ausgezeichnete Schmierung für verschiedene industrielle Anwendungen.</p> <ul>   <li>Einpressen von Stiften, Bolzen und Hülsen</li>   <li>Schmierung von Bettbahnen und Kurvenbahnen</li>   <li>Schmierung von Profilführungen und Gleitkulissen</li>   <li>Schmierung von Gelenklagern</li> </ul>  <h3>Anwendungshinweise</h3> <p>Die beste Haftung von UNIMOLY PA Spray an der Reibstelle wird erreicht, wenn diese mit einem Lösemittel vorgereinigt wird. Dadurch werden lose anhaftende Verarbeitungsrückstände und störende Trennschichten entfernt. Vor Gebrauch die Dose gut schütteln und während der Anwendung für ausreichende Belüftung sorgen, da die Bildung explosionsfähiger Gemische möglich ist. Nicht gegen offene Flammen, glühende oder heiße Gegenstände sprühen. Zusätzliche Anwendungshinweise sind im Sicherheitsblatt und auf dem Dosenetikett zu beachten. Vor Sonneneinstrahlung und Temperaturen über 50 °C schützen.</p> } 
1078072;<h2>QUIETSCH-EX, QUIETSCH-EX Spray: Universalfluid</h2>  <p>Effektives, universell einsetzbares Fluid zur Beseitigung von Quietschen, Rost und Klemmen.</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3> <p>QUIETSCH-EX ist ein vielseitig einsetzbares Universalfluid, das speziell für die Beseitigung von Quietschen und Klemmen sowie zur Rostlösung entwickelt wurde. Es zeichnet sich durch sein hervorragendes Kriechverhalten aus, welches eine effektive Schmierung auch in schwer zugänglichen Bereichen ermöglicht. Darüber hinaus bietet es Schutz vor Korrosion und Festfrieren und dient als wirksames Reinigungs- und Schneidöl.</p>  <h3>Vorteile</h3> <ul>   <li>Beseitigt Quietschen und Klemmen</li>   <li>Exzellentes Kriechverhalten</li>   <li>Wirksamer Korrosionsschutz</li>   <li>Effektive Rostlösung</li>   <li>Schutz vor Festfrieren bis -30°C</li>   <li>Reinigungsfähigkeit für Maschinenelemente</li>   <li>Unterstützt spanende Bearbeitung</li> </ul>  <h3>Anwendungsgebiete</h3> <p>Das Universalfluid QUIETSCH-EX eignet sich für ein breites Spektrum an Anwendungen in Industrie, Werkstatt, sowie bei Fahrzeugen wie Autos und Motorrädern. Es ist ideal für die Schmierung von Lagern, Gleitstellen, Ketten, Schlössern und Scharnieren und effektiv als Rostlöser und Korrosionsschutzmittel.</p> <ul>   <li>Lager und Gleitstellen</li>   <li>Ketten, Schlösser, Scharniere</li>   <li>Festgerostete Teile</li>   <li>Korrosionsschutz für Maschinen und Werkzeuge</li> </ul>  <h3>Anwendungshinweise</h3> <p>Zur optimalen Nutzung von QUIETSCH-EX genügt es, das Produkt kurz auf die betroffenen Stellen zu sprühen, zu pinseln oder zu tropfen. Eine dünne Schicht reicht bereits aus, um eine effiziente Wirkung zu erzielen und die Lebensdauer von Maschinenteilen und Werkzeugen zu verlängern.</p> } 
1078074;<h2>Klüber WOLFRACOAT C Spray: Hochtemperatur-Schmierpaste</h2>  <p>Effektive Hochtemperatur-Schmierpaste zur Montage und Schmierung kraftschlüssiger Verbindungen.</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3> <p>Klüber WOLFRACOAT C Spray ist eine graue Hochtemperaturschmierpaste mit metallischen Festschmierstoffpigmenten wie Kupfer und Grafit. Diese Paste ist speziell entwickelt worden, um übermäßige Reibung, Verschleiß und Verschweißungen in hoch belasteten Schmierstellen zu verhindern. Sie hinterlässt einen temperaturstabilen Schmierfilm, der ab einer Temperatur von ca. 200 °C Festschmierstoffe im Reibkontakt zurücklässt, welche bis zu 1200 °C Tribokorrosion oder dem Fressen von z.B. Passungen entgegenwirken.</p>  <h3>Vorteile</h3> <ul>   <li>Erleichterte Montage/Demontage kraftschlüssiger Verbindungen</li>   <li>Verlässliche Schmierwirkung unter Mischreibungsbedingungen bei hoher Last</li>   <li>Schützt vor Einlaufschäden und verhindert Fressen</li>   <li>Verhindert Ratterbewegungen bei Gleitführungen</li>   <li>Hohes Druckaufnahmevermögen</li> </ul>  <h3>Anwendungsgebiete</h3> <p>Klüber WOLFRACOAT C Spray bewährt sich als Montagepaste zur Schmierung kraftschlüssiger Verbindungen und langsam laufender (Gleit-) Lagerungen, die hohen Temperaturen ausgesetzt sind. Typische Anwendungsfälle finden sich in Kraftwerken, der Stahlindustrie, Zementherstellung und ähnlichen industriellen Anwendungen.</p> <ul>   <li>Montage kraftschlüssiger Verbindungen</li>   <li>Schmierung von langsam laufenden Gleitlagern</li>   <li>Anwendungen in Kraftwerken</li>   <li>Verwendung in der Stahlindustrie</li>   <li>Schmierung in der Zementherstellung</li> </ul>  <h3>Anwendungshinweise</h3> <p>Vor der Erstbeschmierung sollte die Oberfläche der Reibstelle sorgfältig gereinigt werden. Es empfiehlt sich, einen möglichst gleichmäßigen, dünnen Schmierfilm flächig aufzusprühen. Die Spraydose vor Gebrauch schütteln und während der Anwendung für ausreichende Belüftung sorgen. Nicht gegen offene Flammen, glühende oder heiße Gegenstände sprühen. Zusätzliche Anwendungshinweise finden Sie im Sicherheitsdatenblatt und auf dem Dosenetikett. Vor Sonneneinstrahlung und Temperaturen über 50 °C schützen.</p> } 
1078083;<h2>Klüber Klübersynth MZ 4-17 Spray: Schmier- und Korrosionsschutzöl</h2>  <p>Vollsynthetisches Schmier- und Korrosionsschutzöl mit hervorragenden Tieftemperaturmerkmalen.</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3> <p>Klübersynth MZ 4-17 ist ein vollsynthetisches Schmier- und Korrosionsschutzöl mit hervorragenden Tieftemperaturmerkmalen. Das Produkt hinterlässt keine Rückstände und verharzt nicht, was zu einer erhöhten Anlagenverfügbarkeit und einem reduzierten Wartungsaufwand beiträgt. Es bietet einen hervorragenden Korrosionsschutz, selbst bei Salzwassereinfluss, und unterstützt die Leichtgängigkeit von Bauteilen auch bei tiefen Temperaturen bis zu -50 °C. Klübersynth MZ 4-17 ist lösungsmittelfrei und somit sicher in der Anwendung.</p>  <h3>Vorteile</h3> <ul>   <li>Keine Rückstandsbildung, kein Verharzen</li>   <li>Erhöhte Anlagenverfügbarkeit und reduzierter Wartungsaufwand</li>   <li>Unterstützt die Leichtgängigkeit bei tiefen Temperaturen</li>   <li>Guter Korrosionsschutz, auch bei Salzwassereinfluss</li>   <li>Gefahrlose Anwendung, da lösungsmittelfrei</li> </ul>  <h3>Anwendungsgebiete</h3> <p>Klübersynth MZ 4-17 wird zur Konservierung von Wälzlagern verwendet, die anschließend mit synthetischen Schmierstoffen befüllt werden. Es dient als Korrosionsschutz an Maschinen, Anlagen und Bauteilen in Kühlhäusern sowie im Luft- und Schifffahrtsbereich. Das niedrigviskose Öl unterstützt die Leichtgängigkeit von Bauteilen bei Temperaturen bis zu -50 °C und wird häufig zur Konservierung von Werkzeugen, Jagd und Sportwaffen eingesetzt. Klübersynth MZ 4-17 bewährt sich auch als Schmier- und Korrosionsschutzöl in der Wellpappenherstellung, insbesondere bei der Schmierung von Schneidmessern beim Längsschneiden (Disc-Cut). Es zeichnet sich durch eine besondere Trennwirkung, geringen Verbrauch aufgrund der Hochtemperaturstabilität und verlängerte Standzeiten durch sein ausgeprägtes Verschleißschutzverhalten aus. Zusätzlich eignet sich das Öl hervorragend zur Reinigung der Riffelwalzenoberfläche.</p>  <ul>   <li>Konservierung von Wälzlagern</li>   <li>Korrosionsschutz für Maschinen und Anlagen</li>   <li>Schmierstoff für Kühlhäuser</li>   <li>Schmieröl für Luft- und Schifffahrtsbereich</li>   <li>Konservierung von Werkzeugen und Waffen</li>   <li>Schmierung in der Wellpappenherstellung</li> </ul>  <h3>Anwendungshinweise</h3> <p>Klübersynth MZ 4-17 kann durch Tropfschmierung, automatische Schmiergeräte, Ölkanne oder Pinsel aufgetragen werden und ist auch als Klübersynth MZ 4-17 Spray erhältlich. Vor der Anwendung sollten die zu schmierenden Oberflächen gründlich gereinigt werden, um eine optimale Haftung und Schutzwirkung zu gewährleisten. Schütteln Sie die Spraydose vor Gebrauch gut und sorgen Sie während der Anwendung für ausreichende Belüftung. Sprühen Sie nicht gegen offene Flammen, glühende oder heiße Gegenstände. Beachten Sie die zusätzlichen Anwendungshinweise im Sicherheitsdatenblatt und auf dem Dosenetikett. Lagern Sie das Produkt geschützt vor Sonneneinstrahlung und Temperaturen über 50 °C.</p> } 
1078086;<h2>Klüber STABURAGS NBU 30 PTM Spray: Schmier- und Montagefett</h2>  <p>Effektives Schmier- und Montagefett mit hervorragendem Korrosionsschutz und Wasserbeständigkeit.</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3> <p>Klüber STABURAGS NBU 30 PTM ist ein festschmierstoffhaltiges, wasserbeständiges Montagefett, das speziell gegen Tribokorrosion (Passungs- und Reibrostbildung) entwickelt wurde. Besonders bewährt bei Anwendungen unter Freiwetterbedingungen und hohem Feuchtigkeitseinfluss. Es bietet zuverlässigen Schutz vor Verschleiß und Korrosion, selbst unter extremen Bedingungen.</p>  <h3>Vorteile</h3> <ul>   <li>Montagefett gegen Tribokorrosion</li>   <li>Guter Korrosionsschutz</li>   <li>Sehr gute Wasserbeständigkeit auch unter Freiwetterbedingungen</li>   <li>Freigabe der Knorr-Bremse N 12006-37</li>   <li>Einfachere Montage und Demontage</li> </ul>  <h3>Anwendungsgebiete</h3> <p>STABURAGS NBU 30 PTM ist ideal als Montagefett für Spielpassungen, Wasser- und Heißwasserarmaturen sowie Gleitführungen. Es wird häufig in Abfüllmaschinen, Ventilspindeln, Zylinderführungen und als Abdichtfett verwendet. Besonders bewährt für außen liegende Bauteile an Bremsen von Schienenfahrzeugen, wie Bolzen und Bremsgestänge. Auch zur Montage und Demontage von ABS-Sensoren an Fahrzeugen geeignet.</p> <ul>   <li>Montagefett für Spielpassungen</li>   <li>Wasser- und Heißwasserarmaturen</li>   <li>Gleitführungen und Zylinderführungen</li>   <li>Schmierstoff für Abfüllmaschinen</li>   <li>Bolzen, Spindeln und Schrauben an Drehgestellen</li>   <li>Außen liegende Bauteile an Bremsen für Schienenfahrzeuge</li> </ul>  <h3>Anwendungshinweise</h3> <p>Für Bremsen ohne Schmiernippel sollte zur Nachschmierung STABURAGS NBU 30 PTM in der Sprayvariante verwendet werden. Für eine optimale Applikation zum Eindringen in den Schmierspalt empfiehlt sich eine Sprühdauer von mindestens 8 Sekunden. Dies erhöht bei Schienenfahrzeugen mit Bremsgestänge den Wirkungsgrad und sorgt für lange Wartungsintervalle. Als Montagefett ist das Produkt metalldeckend aufzutragen, beispielsweise per Hand, Lappen oder Bürste, dabei aber nicht einzureiben. Bei Tieftemperaturanwendungen ist eine gute Haftung des Schmierstoffs bis mindestens -55°C gegeben.</p> } 
1078088;<h2>Klüber Klüberalfa YM 3-30 Spray: Schmieröl für Elektrokontakte und Montageschmieröl</h2>  <p>Hochwertiges, nicht brennbares Schmieröl für Elektrokontakte, Kunststoffe und Elastomere.</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3> <p>Klüberalfa YM 3-30 Spray ist ein hochspezialisiertes Schmieröl auf Basis perfluorierter Polyether (PFPE). Entwickelt für die Lebensdauerschmierung, bietet es eine hervorragende Alterungsstabilität und Beständigkeit gegenüber den meisten Chemikalien. Dieses Schmieröl ist nicht brennbar und neutral gegenüber den meisten Elastomeren und Kunststoffen, wodurch es ideal für die Dünnfilmbeölung von elektrischen Kontakten und Steckverbindern ist.</p>  <h3>Vorteile</h3> <ul>   <li>Leichte Applizierbarkeit bei Sprayvariante</li>   <li>Hohe Alterungsstabilität</li>   <li>Beständigkeit gegenüber den meisten Chemikalien</li>   <li>Neutralität gegenüber den meisten Elastomeren und Kunststoffen</li>   <li>Wirksames Schmierfluid, nicht brennbar</li> </ul>  <h3>Anwendungsgebiete</h3> <p>Klüberalfa YM 3-30 wird zur Schmierung von Gleit- und Steckkontakten sowie Kunststoffteilen verschiedener Bauformen verwendet. Die Spraydose ermöglicht eine gleichmäßig dünne und flächige Schmierung, was eine einfache und saubere Applikation ohne zusätzliche Applikationshilfen gewährleistet. Es eignet sich hervorragend für die Lebensdauerschmierung und den Einsatz in anspruchsvollen Umgebungen.</p> <ul>   <li>Schmierung von Gleit- und Steckkontakten</li>   <li>Schmierung von Kunststoffteilen</li>   <li>Lebensdauerschmierung</li>   <li>Anwendungen in aggressiven Chemikalienumgebungen</li> </ul>  <h3>Anwendungshinweise</h3> <p>Für bestmögliche Schmierergebnisse empfehlen wir, die Reibstelle vor der Erstschmierung mit Testbenzin 180/210 und anschließend mit Klüberalfa XZ 3-1 zu reinigen. Nach der Reinigung sollte die Reibstelle mit sauberer, trockener Druckluft oder einer Wärmedusche behandelt werden, um das Testbenzin rückstandsfrei zu entfernen. Die Reibstelle muss frei von Ölen, Fetten und Schmutzpartikeln sein. Bei Verwendung des Sprays: Schütteln Sie die Dose vor Gebrauch gut und sorgen Sie während der Anwendung für ausreichende Belüftung. Sprühen Sie nicht gegen offene Flammen, glühende oder heiße Gegenstände. Zusätzliche Anwendungshinweise finden Sie im Sicherheitsdatenblatt und auf dem Dosenetikett. Lagern Sie das Produkt geschützt vor Sonnenbestrahlung und Temperaturen über 50°C.</p> } 
1078094;<h2>Klüber WOLFRAKOTE TOP PASTE: Hochtemperaturpaste</h2>  <p>Verlässliche Trockenschmierwirkung bei hohen bis sehr hohen Temperaturen.</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3> <p>WOLFRAKOTE TOP PASTE ist eine graue Hochtemperaturpaste auf Basis hochwertiger Kohlenwasserstofföle mit einer temperaturbeständigen Festschmierstoffkombination. Im \'84Normaltemperaturbereich\ldblquote  bewährt sich WOLFRAKOTE TOP PASTE als Hochdruckschmier- und Montagepaste mit guter Haftfähigkeit auf Metallen. Bei dauerhaft höheren Temperaturen verbleiben die Festschmierstoffe im Reibkontakt, die adhäsivem Verschleiß durch z.B. Verschweißungen oder Materialübertragung entgegenwirken.</p>  <h3>Vorteile</h3> <ul>   <li>Verlässliche Trockenschmierwirkung bei hohen bis sehr hohen Temperaturen</li>   <li>Wirkt \'84Festbrennen\ldblquote  von z.B. Bolzen, Scharnieren entgegen</li>   <li>Langjährig bewährt als Langzeitschlichte im NE-Metallguss</li> </ul>  <h3>Anwendungsgebiete</h3> <p>WOLFRAKOTE TOP PASTE hat sich zur Erstschmierung von Ketten im Hochtemperaturbereich bewährt. Ein weiteres Anwendungsgebiet ist das Schmieren von Bolzen, Schrauben und Scharnieren, die hohen Temperaturen ausgesetzt sind. WOLFRAKOTE TOP PASTE wird im NE-Metallgussbereich als Einbrennschlichte für Gießlöffel, Gießwerkzeuge, Gießtrichter und Gießrinnen verwendet. WOLFRAKOTE TOP PASTE wirkt weiterhin als Montage- und Trennpaste für Formeinsätze, Auswerfer, Schieber oder Kernzüge, sowie als Trennpaste für elektrische Heizpatronen an Warmkammermaschinen.</p> <ul>   <li>Erstschmierung von Ketten im Hochtemperaturbereich</li>   <li>Schmieren von Bolzen, Schrauben und Scharnieren</li>   <li>Einbrennschlichte im NE-Metallgussbereich</li>   <li>Montage- und Trennpaste für Formeinsätze, Auswerfer, Schieber oder Kernzüge</li>   <li>Trennpaste für elektrische Heizpatronen an Warmkammermaschinen</li> </ul>  <h3>Anwendungshinweise</h3> <p>WOLFRAKOTE TOP PASTE haftet am besten auf vorgereinigten, fettfreien Oberflächen. Lose anhaftende Verarbeitungsrückstände, aber auch störende Trennschichten, wie z. B. Korrosionsschutz, sind zu entfernen. Nach dem Reinigen ist die Reibstelle mit WOLFRAKOTE TOP PASTE gleichmäßig dünn auf der gesamten Fläche einzustreichen.</p> <p>Angebrochene Behälter sind sorgfältig zu verschließen, um die Paste vor Verschmutzung zu schützen.</p> } 
